timestamp,market_id,event_slug,title,volume,price_yes,status,tags
2026-07-31T17:50:19.034542,691547,kraken-ipo-in-2025,"Kraken IPO by December 31, 2026?",550155.7679039999,0.275,active,"crypto, exchange, finance, business, 2025 predictions, featured, ipos, crypto listings"
2026-07-31T17:50:19.034626,540817,what-will-happen-before-gta-vi,New Rihanna Album before GTA VI?,885637.1625980001,0.505,active,"culture, all, politics, gta vi"
2026-07-31T17:50:19.034631,540818,what-will-happen-before-gta-vi,New Playboi Carti Album before GTA VI?,755411.5482319996,0.505,active,"culture, all, politics, gta vi"
2026-07-31T17:50:19.034634,540819,what-will-happen-before-gta-vi,Will Jesus Christ return before GTA VI?,11919480.844709026,0.495,active,"culture, all, politics, gta vi"
2026-07-31T17:50:19.034638,540820,what-will-happen-before-gta-vi,Trump out as President before GTA VI?,717936.5586010002,0.495,active,"culture, all, politics, gta vi"
2026-07-31T17:50:19.034641,540843,what-will-happen-before-gta-vi,Will China invades Taiwan before GTA VI?,1936796.0852239993,0.505,active,"culture, all, politics, gta vi"
2026-07-31T17:50:19.034645,540844,what-will-happen-before-gta-vi,Will bitcoin hit $1m before GTA VI?,4776509.773236997,0.4985,active,"culture, all, politics, gta vi"
2026-07-31T17:50:19.034648,573647,what-will-happen-before-gta-vi,Will GPT-6 be released before GTA VI?,694703.7391330003,0.505,active,"culture, all, politics, gta vi"
2026-07-31T17:50:19.034661,2159718,will-russia-capture-kostyantynivka-by,Will Russia capture Kostyantynivka by September 30?,451489.79442,0.865,active,"politics, world, geopolitics, russia capture, ukraine map"
2026-07-31T17:50:19.034677,677366,will-russia-capture-kostyantynivka-by,"Will Russia capture Kostyantynivka by December 31, 2026?",1566154.878127,0.938,active,"politics, world, geopolitics, russia capture, ukraine map"
2026-07-31T17:50:19.034711,677273,israel-and-syria-normalize-relations-in-2025,"Israel and Syria normalize relations by December 31, 2026?",678317.019311,0.145,active,"israel, middle east, geopolitics, world, syria, trump x al-sharaa"
2026-07-31T17:50:19.034721,1007579,will-russia-capture-sumy-before-october,"Will Russia capture Sumy by March 31, 2027?",400248.640557,0.075,active,"geopolitics, world, putin, russia capture, ukraine map"
2026-07-31T17:50:19.034741,559652,democratic-presidential-nominee-2028,Will Gavin Newsom win the 2028 Democratic presidential nomination?,26606215.229393993,0.1925,active,"united states, elections, politics, us election, world elections, earn 4%, primaries"
2026-07-31T17:50:19.034744,559653,democratic-presidential-nominee-2028,Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,14083803.605294008,0.1285,active,"united states, elections, politics, us election, world elections, earn 4%, primaries"
2026-07-31T17:50:19.034747,559654,democratic-presidential-nominee-2028,Will Pete Buttigieg win the 2028 Democratic presidential nomination?,11707455.224927016,0.0515,active,"united states, elections, politics, us election, world elections, earn 4%, primaries"
2026-07-31T17:50:19.034756,559658,democratic-presidential-nominee-2028,Will Kamala Harris win the 2028 Democratic presidential nomination?,12832956.819463003,0.0835,active,"united states, elections, politics, us election, world elections, earn 4%, primaries"
2026-07-31T17:50:19.034763,559661,democratic-presidential-nominee-2028,Will Jon Ossoff win the 2028 Democratic presidential nomination?,12393405.162027001,0.137,active,"united states, elections, politics, us election, world elections, earn 4%, primaries"
2026-07-31T17:50:19.034866,560317,putin-out-before-2027,"Putin out as President of Russia by December 31, 2026?",18214093.564258996,0.085,active,"putin, geopolitics, ukraine, politics, world, russia, earn 4%"
2026-07-31T17:50:19.034875,561229,presidential-election-winner-2028,Will JD Vance win the 2028 US Presidential Election?,14947626.662069984,0.2005,active,"president, united states, us election, elections, politics, world elections, global elections, earn 4%, main election"
2026-07-31T17:50:19.034879,561230,presidential-election-winner-2028,Will Gavin Newsom win the 2028 US Presidential Election?,17568531.48721899,0.1125,active,"president, united states, us election, elections, politics, world elections, global elections, earn 4%, main election"
2026-07-31T17:50:19.034882,561231,presidential-election-winner-2028,Will Alexandria Ocasio-Cortez win the 2028 US Presidential Election?,12657945.633890007,0.094,active,"president, united states, us election, elections, politics, world elections, global elections, earn 4%, main election"
2026-07-31T17:50:19.034890,561234,presidential-election-winner-2028,Will Marco Rubio win the 2028 US Presidential Election?,11493509.915235998,0.1275,active,"president, united states, us election, elections, politics, world elections, global elections, earn 4%, main election"
2026-07-31T17:50:19.034946,561261,presidential-election-winner-2028,Will Jon Ossoff win the 2028 US Presidential Election?,5277467.842912001,0.093,active,"president, united states, us election, elections, politics, world elections, global elections, earn 4%, main election"
