timestamp,end_date,market_id,event_slug,title,volume,price_yes,status,tags
2026-08-22T22:00:44.616225+00:00,2028-11-07T00:00:00Z,559652,democratic-presidential-nominee-2028,Will Gavin Newsom win the 2028 Democratic presidential nomination?,26865539.17974298,0.1505,active,"united states, elections, politics, us election, world elections, earn 4%, primaries"
2026-08-22T22:00:44.616259+00:00,2028-11-07T00:00:00Z,559653,democratic-presidential-nominee-2028,Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,14921893.088446002,0.2135,active,"united states, elections, politics, us election, world elections, earn 4%, primaries"
2026-08-22T22:00:44.616271+00:00,2028-11-07T00:00:00Z,559654,democratic-presidential-nominee-2028,Will Pete Buttigieg win the 2028 Democratic presidential nomination?,11859690.485290008,0.0525,active,"united states, elections, politics, us election, world elections, earn 4%, primaries"
2026-08-22T22:00:44.616282+00:00,2028-11-07T00:00:00Z,559655,democratic-presidential-nominee-2028,Will Josh Shapiro win the 2028 Democratic presidential nomination?,9585988.059637994,0.0505,active,"united states, elections, politics, us election, world elections, earn 4%, primaries"
2026-08-22T22:00:44.616301+00:00,2028-11-07T00:00:00Z,559658,democratic-presidential-nominee-2028,Will Kamala Harris win the 2028 Democratic presidential nomination?,13008625.443334004,0.0745,active,"united states, elections, politics, us election, world elections, earn 4%, primaries"
2026-08-22T22:00:44.616318+00:00,2028-11-07T00:00:00Z,559661,democratic-presidential-nominee-2028,Will Jon Ossoff win the 2028 Democratic presidential nomination?,12730466.79469901,0.148,active,"united states, elections, politics, us election, world elections, earn 4%, primaries"
2026-08-22T22:00:44.616545+00:00,2028-11-07T00:00:00Z,561229,presidential-election-winner-2028,Will JD Vance win the 2028 US Presidential Election?,15659290.63060801,0.2225,active,"president, united states, us election, elections, politics, world elections, global elections, earn 4%, main election"
2026-08-22T22:00:44.616554+00:00,2028-11-07T00:00:00Z,561230,presidential-election-winner-2028,Will Gavin Newsom win the 2028 US Presidential Election?,17892556.446366,0.0815,active,"president, united states, us election, elections, politics, world elections, global elections, earn 4%, main election"
2026-08-22T22:00:44.616562+00:00,2028-11-07T00:00:00Z,561231,presidential-election-winner-2028,Will Alexandria Ocasio-Cortez win the 2028 US Presidential Election?,13422625.513300989,0.1305,active,"president, united states, us election, elections, politics, world elections, global elections, earn 4%, main election"
2026-08-22T22:00:44.616579+00:00,2028-11-07T00:00:00Z,561234,presidential-election-winner-2028,Will Marco Rubio win the 2028 US Presidential Election?,12036770.137340995,0.1095,active,"president, united states, us election, elections, politics, world elections, global elections, earn 4%, main election"
2026-08-22T22:00:44.616703+00:00,2028-11-07T00:00:00Z,561261,presidential-election-winner-2028,Will Jon Ossoff win the 2028 US Presidential Election?,5512083.38841,0.0975,active,"president, united states, us election, elections, politics, world elections, global elections, earn 4%, main election"
2026-08-22T22:00:44.616835+00:00,2028-11-07T00:00:00Z,561974,republican-presidential-nominee-2028,Will J.D. Vance win the 2028 Republican presidential nomination?,15312084.442721004,0.4735,active,"united states, politics, us election, elections, world elections, global elections, earn 4%, primaries"
2026-08-22T22:00:44.616844+00:00,2028-11-07T00:00:00Z,561975,republican-presidential-nominee-2028,Will Marco Rubio win the 2028 Republican presidential nomination?,10228892.288526002,0.2045,active,"united states, politics, us election, elections, world elections, global elections, earn 4%, primaries"
2026-08-22T22:00:44.617191+00:00,2026-10-04T00:00:00Z,601819,brazil-presidential-election,Will Luiz Inácio Lula da Silva win the 2026 Brazilian presidential election?,8862963.444181995,0.625,active,"politics, macro election 2, main election, brazil, global elections, world elections, world"
2026-08-22T22:00:44.617225+00:00,2026-10-04T00:00:00Z,601825,brazil-presidential-election,Will Renan Santos win the 2026 Brazilian presidential election?,10570306.472819999,0.027,active,"politics, macro election 2, main election, brazil, global elections, world elections, world"
2026-08-22T22:00:44.617233+00:00,2026-10-04T00:00:00Z,601826,brazil-presidential-election,Will Flávio Bolsonaro win the 2026 Brazilian presidential election?,8780471.945138,0.3365,active,"politics, macro election 2, main election, brazil, global elections, world elections, world"
2026-08-22T22:00:44.617311+00:00,2027-01-01T04:59:00Z,567688,netanyahu-out-before-2027,Netanyahu out by end of 2026?,2206594.460564,0.485,active,"geopolitics, world, middle east, israel, politics, earn 4%, israel election"
2026-08-22T22:00:44.617339+00:00,2027-04-30T00:00:00Z,679018,next-french-presidential-election,Will Marine Le Pen win the 2027 French presidential election?,1910887.2338420004,0.3165,active,"french election, main election, france, world, politics, global elections, elections"
2026-08-22T22:00:44.617358+00:00,2027-04-30T00:00:00Z,679021,next-french-presidential-election,Will Édouard Philippe win the 2027 French presidential election?,1274613.7533550006,0.255,active,"french election, main election, france, world, politics, global elections, elections"
2026-08-22T22:00:44.617428+00:00,2027-04-30T00:00:00Z,679030,next-french-presidential-election,Will Jean-Luc Mélenchon win the 2027 French presidential election?,1192180.489712,0.125,active,"french election, main election, france, world, politics, global elections, elections"
2026-08-22T22:00:44.617616+00:00,2026-12-31T00:00:00Z,1105742,venezuela-leader-end-of-2026,Will Delcy Rodríguez be the leader of Venezuela end of 2026?,1768166.2061910003,0.095,active,"trump-machado, rewards 20, 4.5, 50, venezuela, trump, politics, geopolitics, maduro"
2026-08-22T22:00:44.617630+00:00,2026-12-31T00:00:00Z,1105744,venezuela-leader-end-of-2026,Will Nicolás Maduro be the leader of Venezuela end of 2026?,2778127.253821,0.8555,active,"trump-machado, rewards 20, 4.5, 50, venezuela, trump, politics, geopolitics, maduro"
2026-08-22T22:00:44.617845+00:00,2026-12-31T00:00:00Z,665374,will-the-us-invade-iran-before-2027,Will the U.S. invade Iran before 2027?,59310472.001540005,0.165,active,"military strikes, politics, geopolitics, world, middle east, israel, iran, trump"
